,Astrocytes,Excitatory neurons,Inhibitory neurons,Microglial cells,Oligodendrocyte precursor cells,Oligodendrocytes
0,ATP1A2,ROS1,SLC7A2,CFLAR,ARHGAP31,ERBB3
1,FGFR3,ABCC9,FRMPD1,PRKCH,CALCRL,CDH19
2,PRODH,FAP,CACNG4,TBXAS1,NTN1,LRP2
3,PON2,SGCG,PVALB,SP100,CACNG4,CAPN3
4,GLI3,RASAL1,HRH3,APBB1IP,FERMT1,PLLP
5,ARHGEF26,PDGFRB,GRIN2D,FYB1,PLLP,FA2H
6,HIF3A,CAT,RND3,LPCAT2,PON2,MAG
7,ATP13A4,ABCC4,TRIM67,CPED1,COL9A1,ASPA
8,APOE,RHOJ,ANO1,DOCK8,BCHE,PMP22
9,NHSL1,PODXL,POSTN,CGNL1,TEK,LDB3
10,MMD2,ITGA11,ETS1,SLCO2B1,ATP13A4,MYRF
11,SLCO1C1,BOC,DUSP10,ENTPD1,PDGFRA,EVI2A
12,STON2,DAB2,DLX1,LPAR6,TNS3,RNASE1
13,ITPKB,SH3RF2,HAPLN1,FLI1,STK32B,PRR5L
14,PSD2,PWWP3B,CRHBP,TGFBR2,APCDD1,ERMN
15,RGS20,FMNL3,TMEM47,IFI16,PLPP3,TTYH2
16,GJA1,ARHGAP25,NACC2,EBF1,ZCCHC24,HEPACAM
17,ACSS1,FAM241A,LGI2,CX3CR1,AFAP1L2,SH3TC2
18,PLPP3,JUN,PNOC,INPP5D,STK32A,CLIC4
19,ETNPPL,RGMA,PYGO1,P2RY12,OLIG1,GATM
20,RANBP3L,KREMEN1,ZFAND4,BNC2,SULF2,LRRC63
21,HEPACAM,AIFM3,PRKX,PARP14,SMOC1,PLAAT3
22,NDRG2,POU3F2,MAFB,A2M,PLPP4,TMEM63A
23,AQP4,OR1J2,PCP4L1,ZFP36L1,OLIG2,OPALIN
